The file test.txt contains: 
a has repeated 1 times
b has repeated 1 times
c has repeated 1 times
d has repeated 1 times
e has repeated 1 times
f has repeated 1 times
g has repeated 1 times
h has repeated 1 times
i has repeated 1 times
j has repeated 1 times
k has repeated 1 times
l has repeated 1 times
m has repeated 1 times
n has repeated 1 times
o has repeated 1 times
p has repeated 1 times
q has repeated 1 times
r has repeated 1 times
s has repeated 1 times
t has repeated 1 times
u has repeated 1 times
v has repeated 1 times
w has repeated 1 times
x has repeated 1 times
y has repeated 1 times
z has repeated 1 times
